Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Réunion,486588,921,418572,67095,535854,1014,1603660,1766027,908061
S. Korea,34571873,35934,34387498,148441,673523,700,15804065,307892,51329899
Saint Kitts and Nevis,6607,48,6559,0,122645,891,126958,2356704,53871
Saint Lucia,30052,409,29095,548,162344,2209,210983,1139752,185113
Saint Martin,12324,63,1399,10862,310194,1586,112382,2828643,39730
Saint Pierre Miquelon,3452,2,2449,1001,599410,347,25400,4410488,5759
Samoa,16778,31,1605,15142,82961,153,187397,926612,202239
San Marino,24504,126,24338,40,718909,3697,196855,5775414,34085
Sao Tome and Principe,6597,80,6516,1,28975,351,29036,127530,227679
Saudi Arabia,841469,9646,827923,3900,23475,269,45481735,1268848,35844909
Senegal,89014,1971,87024,19,5042,112,1146543,64946,17653671
Serbia,2547846,18057,2528235,1554,294446,2087,13068145,1510242,8653016
Seychelles,50937,172,50750,15,512311,1730,,,99426
Sierra Leone,7762,126,,,934,15,259958,31296,8306436
Singapore,2560028,1875,2149583,408570,430724,315,24756666,4165302,5943546
Sint Maarten,11051,92,10905,54,251353,2093,62056,1411454,43966
Slovakia,1867323,21167,1845870,286,341988,3877,7438754,1362361,5460193
Slovenia,1344705,7100,1337079,526,647104,3417,2847701,1370382,2078034
Solomon Islands,24575,153,,,34077,212,,,721159
Somalia,27334,1361,13182,12791,1623,81,400466,23778,16841795
South Africa,4076463,102595,3912506,61362,67095,1689,26795090,441027,60756135
South Sudan,18368,138,18115,115,1581,12,410280,35313,11618511
Spain,13914811,121760,13762417,30634,297840,2606,471036328,10082298,46719142
Sri Lanka,672579,16882,655691,6,31173,782,6486117,300619,21575842
St. Barth,5507,6,,,553746,603,78646,7908095,9945
St. Vincent Grenadines,9631,124,9493,14,86337,1112,114197,1023720,111551
Sudan,63993,5046,58947,0,1391,110,562941,12240,45992020
Suriname,82588,1408,,,138378,2359,242207,405822,596831
Sweden,2715584,24792,2689373,1419,265739,2426,19500873,1908301,10218971
Switzerland,4410460,14452,4393587,2421,502695,1647,23833472,2716487,8773637
Syria,57743,3165,54578,0,2982,163,146269,7553,19364809
Taiwan,10241520,19005,10222515,0,428720,796,30742304,1286903,23888595
Tajikistan,17786,125,17264,397,1786,13,,,9957464
Tanzania,43078,846,,,681,13,,,63298550
Thailand,4756837,34468,4692636,29733,67879,492,17270775,246450,70078203
Timor-Leste,23460,138,23102,220,17131,101,278529,203391,1369429
Togo,39513,290,39216,7,4552,33,812881,93641,8680837
Tonga,16821,13,15638,1170,156113,121,535009,4965327,107749
Trinidad and Tobago,191496,4390,187078,28,136143,3121,913289,649295,1406585
Tunisia,1153361,29423,,,95741,2442,5013383,416164,12046656
Turkey,17232066,102174,,,201399,1194,162743369,1902052,85561976
Turks and Caicos,6630,39,6576,15,166830,981,614852,15471478,39741
UAE,1067030,2349,1054525,10156,105837,233,200732262,19910389,10081785
UK,24688073,228924,24446755,12394,360421,3342,522526476,7628357,68497907
USA,108386688,1174847,106157935,1053906,323731,3509,1186120834,3542719,334805269
Uganda,171829,3632,100431,67766,3548,75,3012408,62198,48432863
Ukraine,5557995,112418,5445577,0,128681,2603,32603805,754855,43192122
Uruguay,1038774,7634,1030944,196,297131,2184,6114822,1749083,3496016
Uzbekistan,253662,1637,241486,10539,7378,48,1377915,40077,34382084
Vanuatu,12019,14,11976,29,37346,44,24976,77606,321832
Venezuela,552695,5856,546537,302,18885,200,3359014,114771,29266991
Vietnam,11623288,43206,10640663,939419,117462,437,85826548,867342,98953541
Wallis and Futuna,3550,8,438,3104,323256,728,20508,1867419,10982
Yemen,11945,2159,9124,662,383,69,329592,10579,31154867
Zambia,349287,4069,341316,3902,17940,209,4112961,211244,19470234
Zimbabwe,265737,5717,258888,1132,17333,373,2525756,164744,15331428
